query,query_id,query_type,first_answer,passage_text
name of truck carrying breakdown vehicles,20307,description,"A tow truck (also called a wrecker, a breakdown truck, recovery vehicle or a breakdown lorry).","Flatbed recovery vehicle. A tow truck (also called a wrecker, a breakdown truck, recovery vehicle or a breakdown lorry) is a truck used to move disabled, improperly parked, impounded, or otherwise indisposed motor vehicles. The tow truck was invented in 1916 by Ernest Holmes, Sr., of Chattanooga, Tennessee, a garage worker inspired after needing blocks, ropes, and six men to pull a car out of a creek."
name meaning for dahlia,20308,description,The meaning of Dahlia is valley.,"Dahlia /dah-lia/ [3 sylls.] as a girls' name is pronounced DAL-yah. It is of Swedish and Scandinavian origin, and the meaning of Dahlia is valley. Also the flower named for 18th-century Swedish botanist Anders Dahl. Kreatif forms: Daihlia, Dehlia, Dohlia. Shown below is the baby name popularity of Dahlia for girls. Dahlia was first listed in 2006 and reached its highest rank of #438 in the U.S. in 2013, and is at #445 currently."
do plant cells have centrioles,20309,description,"Generally Centrioles not found in plant cells. But, in some lower plant cells have Centrioles.",1 Centrioles are found as single structures in cilia and flagella in animal cells and some lower plant cells. 2  Centrioles are constructed of microtubules. 3  In animal cells centrioles organise the pericentriolar material to produce microtubules including mitotic spindle fibres. Centrioles are absent from the cells of higher plants. When animal cells undergo mitosis they are considered by some to benefit from the presence of centrioles which appear to control spindle fibre formation and which later has an effect on chromosome separation.
what does I olfactory do for smell,20310,description,"The olfactory system is the sensory system used for olfaction, or the sense of smell.","The olfactory system is the sensory system used for olfaction, or the sense of smell. Most mammals and reptiles have two distinct parts to their olfactory system: a main olfactory system and an accessory olfactory system. Olfactory neurons transduce receptor activation into electrical signals in neurons. The signals travel along the olfactory nerve. The olfactory nerve, similar to the optic nerve, is not part of the peripheral nervous system but is defined as a part of the brain."
who is howard carter,20311,person,"He was an archaeologist who discovered the tomb of King Tutankhamun, was a private and stubborn man whose perfectionism frequently got him into trouble.","Howard Carter. Howard Carter (1874-1939), the renowned archaeologist who discovered the tomb of King Tutankhamun, was a private and stubborn man whose perfectionism frequently got him into trouble. COPYRIGHT 2004 The Gale Group Inc. Howard Carter (1874-1939), the renowned archaeologist who discovered the tomb of King Tutankhamun, was a private and stubborn man whose perfectionism frequently got him into trouble."
what does chohan,20312,description,A community sometimes described as a tribe and sometimes as a caste.,"Chauhan, Chouhan or Chohan is a community sometimes described as a tribe and sometimes as a caste. In the medieval period some those associated with it ruled parts of Northern India and one, Prithviraj Chauhan, was the king of Delhi. Rajput bardic accounts, which are based on mythology, describe the Chauhans as one of the four Agnikula Rajput clans who claim to have originated from a sacrificial fire-pit (agnikunda) at Mount Abu. These claims of supernatural origin are clearly improbable and unacceptable to the modern mind."
whooping cough bacteria name,20313,entity,Bordetella pertussis.,"Causes. Pertussis, a respiratory illness commonly known as whooping cough, is a very contagious disease caused by a type of bacteria called Bordetella pertussis. These bacteria attach to the cilia (tiny, hair-like extensions) that line part of the upper respiratory system. "
definition of phycology,20314,description,the study or science of algae.,Definition of PHYCOLOGY. : the study or science of algae —called also algology. — phy·co·log·i·cal \ˌfī-kə-ˈlae-ˈlä-ji\ kəl. adjective
what are the boundaries of the superficial inguinal ring,20315,description,"The ring is bounded above and laterally by the arched lower margin of transversalis fascia. Below and medially, it is bound by the inferior epigastric vessels.","Deep inguinal ring is an oval opening in the transversalis fascia (fascia lining the transversus abdominis muscle). It is the entrance to the inguinal canal and lies about half inch above the inguinal ligament near its midpoint. Boundaries of deep inguinal ring: 1  The ring is bounded above and laterally by the arched lower margin of transversalis fascia. 2  Below and medially, it is bound by the inferior epigastric vessels."
what is physical deconditioning,20316,description,"Deconditioning is a complex process of physiological change following a period of inactivity, bedrest or sedentary lifestyle.","Deconditioning is a complex process of physiological change following a period of inactivity, bedrest or sedentary lifestyle. It results in functional losses in such areas as mental status, degree of continence and ability to accomplish activities of daily living. The authors describe a three-pronged strategy to combat deconditioning that includes a model of care appropriate to the growing population of elderly clients, the creation of an elder-friendly hospital environment and an exercise program."
which part of brain does what,20317,description,"The brain is made of three main parts: the forebrain, midbrain, and hindbrain. The forebrain consists of the cerebrum, thalamus, and hypothalamus. The midbrain consists of the tectum and tegmentum. The hindbrain is made of the cerebellum, pons and medulla.","The brain is made of three main parts: the forebrain, midbrain, and hindbrain. The forebrain consists of the cerebrum, thalamus, and hypothalamus (part of the limbic system). The midbrain consists of the tectum and tegmentum. The hindbrain is made of the cerebellum, pons and medulla. Often the midbrain, pons, and medulla are referred to together as the brainstem. The Cerebrum: The cerebrum or cortex is the largest part of the human brain, associated with higher brain function such as thought and action. The cerebral cortex is divided into four sections, called lobes: the frontal lobe, parietal lobe, occipital lobe, and temporal lobe. "
what are dragon passes,20318,description,"Dragon Pass (Chinese: 龍隘之戰) is a map featured in the Battlefield 4 expansion, China Rising.","Dragon Pass (Chinese: 龍隘之戰) is a map featured in the Battlefield 4 expansion, China Rising. "
can i sue the school for not letting my daughter into prom,20319,description,NO,"8 photos: You can't wear that to the prom. You can't wear that to the prom – Constance McMillen, seen here at the 21st Annual GLAAD Media Awards in 2010, wanted to take her girlfriend to the Itawamba Agricultural High School prom in Fulton, Mississippi, and she wanted to wear a tux to the dance. 8 photos: You can't wear that to the prom. You can't wear that to the prom – Omar Bonilla ran for prom queen at Flanagan High in Pembroke Pines, Florida, in 2010. He was ranked in the top three finalists, but school officials told Bonilla he couldn't wear a gown to the prom because they worried for his safety."
what does the menorah represent in judaism,20320,description,Menorah is a symbol of the nation of Israel and its mission to be a light unto the nations,"One of the oldest symbols of the Jewish faith is the menorah, a seven-branched candelabrum used in the Temple. It has been said that the menorah is a symbol of the nation of Israel and its mission to be a light unto the nations.. (Isaiah 42:6)."
what is meant by a displacement reaction,20321,description,A displacement reaction is one in which an element or group is displaced from a chemical compound by another element or group.,"A displacement reaction is one in which an element or group is displaced from a chemical compound by another element or group. In single displacement reactions, the more reactive element displaces the less reactive one. Single displacement reactions include the replacement of a metal in a salt with a more reactive metal. For example, iron will displace copper from a copper sulfate solution because it is more reactive: Fe+ CuSO 4 4. This type of reaction can be used for metal plating."
what does it mean when tree leaves curl,20322,description,"It is  a plant disease characterized by curling of leaves, and caused by a fungus, genus Taphrina, or virus, especially genus Begomovirus of the family Geminiviridae.","From Wikipedia, the free encyclopedia. Leaf curl is a plant disease characterized by curling of leaves, and caused by a fungus, genus Taphrina, or virus, especially genus Begomovirus of the family Geminiviridae. One of the most notable types is peach leaf curl, caused by the fungus Taphrina deformans, which infects peach, nectarine, and almond trees. Taphrina deformans is found in America, Europe, Asia, Africa, Australia, and New Zealand. It was first introduced in America in 1852 and has now spread all over the country."
Synchrony Credit Cards List,20323,description,"ABC Warehouse Credit Card, and Abt Electronics Credit Card.","This means that if you have one of these cards, it is Synchrony Bank that is extending you credit and it is Synchrony you will be dealing with in the future, not the company whose name is on the front of the card. Synchrony Bank credit cards include: 1  ABC Warehouse Credit Card. 2  Abt Electronics"
how much does uber make per ride,20324,numeric,$15.97,"Uber drivers make the most money (pretax) per ride, on average – $15.97, compared with $13.35 for Sidecar and $11.48 for Lyft."
what is protein deficiency disease,20325,entity,Protein deficiency diseases are serious health conditions that arise due to insufficient amounts of protein in the body.,"Protein Deficiency Diseases. Protein deficiency diseases are serious health conditions that arise due to insufficient amounts of protein in the body. Protein is an important nutrient needed by the human body to replenish and repair tissues and muscles. It also plays an important role in transporting oxygen to the various muscles and organs. Protein deficiency is chiefly caused by malnutrition. Since protein is taken from the food we eat, when there is a significant lack of nourishment and foods rich in protein, the person can develop protein deficiency disease."
where is wineglass bay located,20326,location,"Wineglass Bay is part of the Freycinet Peninsula, an outcrop of wild, pristine coastland on Tasmania's east coast.","Wineglass Bay is part of the Freycinet Peninsula, an outcrop of wild, pristine coastland on Tasmania's east coast. The entire peninsula, comprising Friendly Beaches, Wineglass Bay and Schouten Island, is encompassed within the Freycinet National Park. Wineglass Bay. Wineglass Bay, on Tasmania's Freycinet Peninsula, is considered one of the top ten beaches in the world. This flawless crescent of dazzling white sand and sapphire-coloured sea set against pink and grey granite peaks is one of Australia's most beautiful natural environments."
how long till eyelashes fully grow back,20327,numeric,"If you just pull out an eyelash, it will grow back in about 3 to 4 weeks.","They grow back: If you just pull out an eyelash, it will grow back in about 3 to 4 weeks. If you break an eyelash while trying to pull it out, the broken eyelash will continue to grow. The only time an eyelash will not grow back is when the hair bulb is damaged, either by disease or injury. ...Read more. 3 months: Eyelashes grow out in the 3 month cycle. If you cut one it will not grow by itself but new replcement ones grow alll the time. It will take a maximum of three months to get a whole new set"
what is a holding company used for,20328,description,To reduce tax as well as provide important non-tax related benefits.,"Holding companies can be used to reduce tax as well as provide important non-tax related benefits. While each situation may be different, as your company’s annual revenues and income increase, a holding company is likely something you should consider."
where does france get its oil,20329,location,"Primarily from the Middle East,Norway and the United Kingdom.","France is the third-largest oil-consuming country in Europe, and has very little petroleum reserves. Almost all of its oil is imported, primarily from the Middle East, Norway and the United Kingdom. Purely on the basis of electricity, France is a net energy exporter. France, the third-largest generator and consumer of electricity in all of Europe, generates more electricity than it consumes. (corrected) Nicolas Sarkozy cited 50 percent as the amount of nuclear energy in France. Segolene Royal cited 17 percent. Neither cited the more popular 78 percent figure. Analysts spent the day searching for the truth."
how long it takes starlight to reach earth,20330,numeric,4 years,"In our Solar System, we see light from our sun reflected off the planets. In more distant galaxies, light from many millions of stars takes a long time to reach the Earth. It takes light 4 years to reach the Earth from Sirius, a near neighbouring star. Using the Hubble telescope, we can see the light from the Eagle Nebula, which takes 7,000 years to reach the Earth."
what is biotin deficiency,20331,description,"A rare nutritional disorder which can become serious, even fatal, if allowed to progress untreated.","Biotin deficiency is a rare nutritional disorder which can become serious, even fatal, if allowed to progress untreated. It can occur in people of any age, ancestry, or gender. Biotin is part of the B vitamin family. Genetic disorders such as Biotinidase deficiency, Multiple carboxylase deficiency, and Holocarboxylase synthetase deficiency can also lead to inborn or late-onset forms of biotin deficiency. In all cases – dietary, genetic, or otherwise – supplementation with biotin is the primary method of treatment."
brat diet is grits good for diarrhea,20332,entity,Yes,"the BRAT diet: bananas, rice, apple sauce, and toast. The BRAT diet is a diet for patients with gastrointestinal distress such as diarrhea, indigestion, and/or gastroenteritis. The BRAT diet is a bland diet that consists of foods that are low in fiber. Low-fiber foods were recommended as it was thought that foods high in fiber cause gas and possibly worsen gastrointestinal upset. An acronym, BRAT is a mnemonic for bananas, rice, apple sauce, and toast, the staples of the die"
lil romeo net worth,20333,numeric,$5 Million,"Lil Romeo net worth: $5 Million. Lil Romeo Net Worth: Lil Romeo is an American rapper, actor, basketball player, entrepreneur and model who has a net worth of $5 million dollars. Miller. In 2002, Lil' Romeo saw the release of his second album, Gametime, after which he jumped into the world of movie and TV deals. In 2003 he appeared in the feature film Honey (starring Jessica Alba) and then he signed with Nickelodeon to co-star with his father in the series Romeo! ."
what is trounce insecticide,20334,description,,
what is a pilot rollout,20335,description,Pilot programs offer organizations the ability to rollout new technology in small numbers before attempting large-scale implementation.,"1. Define Success. First, define what success of the pilot program looks like. This gives you a benchmark to compare against later, and helps you judge at the program’s completion if the technology is indeed ready for organization-wide rollout. For many organizations, success is defined as time saved. Posted by Jason Haddad on Tue, Feb 04, 2014 @ 08:32 AM. A newly introduced technology will not succeed if user adoption is low. Pilot programs offer organizations the ability to rollout new technology in small numbers before attempting large-scale implementation. In doing so, you can: 1  Define best practices when using the new solution. 2  Identify kinks, challenges and onboarding issues"
good sources of monounsaturated fatty acids,20336,description,"Nuts, oils, fish and other plant foods.","Monounsaturated fats benefit your cardiovascular system -- they lower LDL, the type of harmful cholesterol linked to heart disease, while raising the level of HDL, or good cholesterol. Foods rich in monounsaturated fats include nuts, oils, fish and other plant foods."
who is affected by salinity in the murray,20337,person,Land surrounding the town of Werrimull in the northwest of Victoria have been affected by salinity due to land clearing.,In the Murray River valley irrigation has caused salinity problems. Land surrounding the town of Werrimull in the northwest of Victoria have been affected by salinity due to land clearing. The Eastern Mallee and the Western Mallee of Western Australia are areas that are prone to salinity with little remedial action being undertaken to rectify the problem. Lands surrounding Lake Bryde-East Lake Bryde and Dumbleyung Lake have also been affected.
what is an Promotional dealer,20338,description,selling or distributing promotional products ,"Clarence Young Autohobby: Facebook Edition. Auto dealer promotional models are the primary emphasis here. Promotional auto sales catalogs, showroom visuals, obsolete model car kits and toy cars are also here. One-of-a-kind items are a specialty. Current and common items are left for the mass marketers."
Webmd is melatonin good for insomnia,20339,description,Yes,"BY MOUTH: View Sources. 1  For insomnia: 2  0.3-5 mg at bedtime is a typical dose. 3  In children with insomnia due to delayed sleep onset, melatonin 5 mg at 6:00 PM daily. 4  In children with developmental disorders (including cerebral palsy, autism, and mental retardation), melatonin 5 mg at 8:00 PM daily. 1 For insomnia: 2  0.3-5 mg at bedtime is a typical dose. 3  In children with insomnia due to delayed sleep onset, melatonin 5 mg at 6:00 PM daily."
what is curcuma,20340,description,An anti-inflammatory molecule in the turmeric root.,"Curcumin, is an anti-inflammatory molecule in the turmeric root, a relative of ginger. Turmeric has been used for thousands of years as a medicinal preparation and a preservative and coloring agent in foods. Curcumin was isolated as the major yellow pigment in turmeric; chemically diferulomethane, and has a polyphenolic molecular structure similar to other plant pigments (eg. Some people attribute the low incidence of Alzheimer's to a high intake of turmeric in Asia. As turmeric contains an average of 5-10% curcumin, the daily intake of curcumin is approximated in India is thought be about 125 mg."
how much cost for concrete driveway,20341,numeric,$3 -$10 per square foot,"1 A plain concrete driveway can cost $3 -$10 or more a square foot, or $900 -$3,000 for 12'x25' or $2,900 -$9,600 for 24'x40', while a customized concrete driveway with multiple decorative elements can cost $15 -$25 or more a square foot, or $4,500 -$7,500 for 12'x25' or $14,400 -$24,000 for 24'x40'). 1 A gravel driveway starts at roughly $0.75 -$3 or more a square foot, or $300 -$1,000 for a 12'x25' single-car driveway. 2  Costs can double for a roadway-quality driveway. 3  Loose gravel will need replenishing periodically, but a correctly designed, installed and maintained gravel driveway can last 50-100 years or more."
what vitamins are good for rheumatoid arthritis,20342,entity,Omega-3s.,"1 Experts say fish oil, which contains omega-3s, can help treat rheumatoid arthritis, lupus, and other inflammatory conditions. 2  Studies have found that omega-3s can help people with rheumatoid arthritis lower their doses of corticosteroids or NSAIDs."
what can set off an alarm system,20343,description,Your alarm system sounds when one of your sensors is triggered or you manually set off the alarm through your control panel or key fob remote.,"Your alarm system sounds when one of your sensors is triggered or you manually set off the alarm through your control panel or key fob remote. Depending on how your system is set up, one of two things will happen-either a high-decibel alarm will sound or a silent alarm will be sent to your ADT monitoring station. When your home security system's alarm sounds, it could mean one of many things. You could have an intruder in your home, or you could have a fire, a flood, or a carbon monoxide leak."
surname ford meaning,20344,description,Dweller or worker at a stream crossing; one who came from Ford (shallow river crossing).,"Meaning of Ford. Ford Meaning: dweller or worker at a stream crossing; one who came from Ford (shallow river crossing), the name of several places in England. "
how to cook pork loin with crackling,20345,description,"Stir thoroughly. When the pork is cooked, remove it from the oven and allow it to rest for at least 15 minutes. Pour any juices from the pork into your sauce. To serve, remove the crackling in one piece (if it's not crispy enough then return it to the oven for 5-10 minutes).Cut the loin off the bone in one piece. Carve the meat into thick slabs and serve a good piece of crackling and some shallot with each one. Pour over the sauce and garnish with fresh sage leaves.","Preheat the oven to 180C/350F/Gas 4. Dry the pork thoroughly with kitchen towels and rub all over with salt. Place the pork and any trimmings into a roasting tin. Peel the shallots, cut them in half lengthways and add them to the tin. Pour 250ml/9fl oz dry cider into the tin. Stir thoroughly. When the pork is cooked, remove it from the oven and allow it to rest for at least 15 minutes. Pour any juices from the pork into your sauce. To serve, remove the crackling in one piece (if it's not crispy enough then return it to the oven for 5-10 minutes). Cut the loin off the bone in one piece. Carve the meat into thick slabs and serve a good piece of crackling and some shallot with each one. Pour over the sauce and garnish with fresh sage leaves"
strict liability offences definition,20346,description,"It means rea does not have to be proven in relation to one or more elements comprising the actus reus although intention, recklessness or knowledge may be required in relation to other elements of the offence.","In criminal law, strict liability is liability for which mens rea (Latin for guilty mind) does not have to be proven in relation to one or more elements comprising the actus reus (Latin for guilty act) although intention, recklessness or knowledge may be required in relation to other elements of the offence. However, offences of strict liability would grant the accused a defence of due diligence – which would continue to be denied in cases of absolute liability. Further, in the absence of a clear legislative intent to the contrary, the Court held that all regulatory offences would be presumed to bear strict"
can meat be defrosted and refrozen,20347,description,Yes,"Frozen food defrosted or thawed in the refrigerator may be refrozen. However, the bacteria in food can multiply even at low temperatures. Refrigerating food will not stop bacterial growth: just slow it. So do not refreeze food that has be defrosted for some time even if it has been refrigerated the whole time. As per U. S. Dept. of Agriculture, Meat and poultry defrosted in the refrigerator may be refrozen before or after cooking. If thawed by other methods, cook before refree … zing.."
how much does a good router cost,20348,numeric,$50 to $100,"1 In addition, you need to pay the service provider for your internet connection. 2  If your internet provider does not include a modem, this will be required as well to connect to the internet. 3  A good modem can retail for $50 to $100. 4  A network card is a USB adapter that can provide instant access to a router."
when did we go to the moon,20349,numeric,20-Jul-69,"The first human-made object to reach the surface of the Moon was the Soviet Union 's Luna 2 mission, on 13 September 1959. The United States' Apollo 11 was the first manned mission to land on the Moon, on 20 July 1969. There have been six manned U.S. landings (between 1969 and 1972) and numerous unmanned landings, with no soft landings happening from 22 August 1976 until 14 December 2013. To date, the United States is the only country to have successfully conducted manned missions to the Moon."
difference between prediabetic and diabetic,20350,description,A person with pre-diabetes has a fasting blood glucose level between 100 and 125 mg/dl. A person with a fasting blood glucose level above 125 mg/dl has diabetes.Normal blood sugar levels for the oral glucose tolerance test are below 140 mg/dl.A person with blood sugar levels between 140 and 199 mg/dl has pre-diabetes. A person with a blood sugar level above 199 mg/dl has diabetes.,A person with pre-diabetes has a fasting blood glucose level between 100 and 125 mg/dl. A person with a fasting blood glucose level above 125 mg/dl has diabetes. Normal blood sugar levels for the oral glucose tolerance test are below 140 mg/dl. A person with blood sugar levels between 140 and 199 mg/dl has pre-diabetes. A person with a blood sugar level above 199 mg/dl has diabetes. 
what was really the goal for equal rights?,20351,description,"The Equal Rights Amendment is not yet in the U.S. Constitution. The ERA, affirming the equal application of the Constitution to all persons regardless of their sex.","The Equal Rights Amendment is not yet in the U.S. Constitution. The ERA, affirming the equal application of the Constitution to all persons regardless of their sex, was written in 1923 by Alice Paul, suffragist leader and founder of the National Woman's Party. "
average time to get a college degree in us,20352,numeric,College students are taking six years to get a four-year degree.,"In this group, 39 percent got their four-year degree within four years; 59 percent graduated within six years. Our rating. Johnson said that on average, college students are taking six years to get a four-year degree.. It’s more common for students to take four years to graduate than it is for them to take six years. But overall, the average duration is about"
what is lymph,20353,description,The fluid that circulates throughout the lymphatic system.,"From Wikipedia, the free encyclopedia. Lymph is the fluid that circulates throughout the lymphatic system. The lymph is formed when the interstitial fluid (the fluid which lies in the interstices of all body tissues) is collected through lymph capillaries. It is then transported through lymph vessels to lymph nodes before emptying ultimately into the right or the left subclavian vein, where it mixes back with blood. Since the lymph is derived from the interstitial fluid, its composition continually changes as the blood and the surrounding cells continually exchange substances with the interstitial fluid. Lymph returns proteins and excess interstitial fluid to the bloodstream."
what illnesses does novobiocin treat,20354,entity,Infections by gram-positive bacteria.,Description of Novobiocin. Novobiocin: an antibiotic obtained from an actinomycete and used to treat infections by gram-positive bacteria. Source: WordNet 2.1. Novobiocin: Novobiocin is one of aminocoumarin antibiotics that were produced by the actinomycete Streptomyces nivens.
how much does it cost to drive from michigan to florida,20355,numeric,$119.83 At current gas prices.,Road trip planner. The total cost of driving from Michigan to Florida (one-way) is $119.83 at current gas prices. The round trip cost would be $239.66 to go from Michigan to Florida and back to Michigan again. Regular fuel costs are around $2.32 per gallon for your trip. This calculation assumes that your vehicle gets an average gas mileage of 25 mpg for a mix of city and highway driving. All currency units are U.S. Dollars.
what causes an erosion,20356,description,Wind and glacial ice,Erosion is the process by which the surface of the Earth gets worn down. Erosion can be caused by natural elements such as wind and glacial ice. But anyone who has ever seen a picture of the Grand Canyon knows that nothing beats the slow steady movement of water when it comes to changing the Earth.
what is the mean of occasional reactive lymphocytes,20357,description,An indicator of immune system activation or antigen stimulation in the body.,"Answered by The Community. Making the world better, one answer at a time. Occasional atypical lymphocytes is found in the bloodstream as an indicator of immune system activation or antigen stimulation in the body. It has more cytoplasm and grows larger in size than normal lymphocytes."
what is an assistant procurement officer,20358,description,,
what is macrobid for,20359,description,Is an antibiotic used to treat bladder infections.,"Nitrofurantoin, sold under the trade name Macrobid among others, is an antibiotic used to treat bladder infections. It is not effective for kidney infections. It is taken by mouth. Common side effects include nausea, loss of appetite, diarrhea, and headaches. "
name that means taurus,20360,description,"Taura,Taurean, Taurin, Taurino, Taurinus, Tauris, Tauro, and Toro.","[ 2 syll. tau-rus, ta-ur-us ] The baby boy name Taurus is sometimes used as a girl name. It is pronounced as T AO R-ahS †. Taurus is used chiefly in the English language and it is derived from Latin origins. The name is of the meaning bull. The name Taura (English) is the female form of Taurus. Taurean, Taurin, Taurino, Taurinus, Tauris, Tauro, and Toro are variants of Taurus. Taurus is unusual as a baby name for boys."
cost to add authorized user american express,20361,numeric,,
other name for phenazopyridine,20362,entity,"It is used to treat pain, burning, increased urination, and increased urge to urinate. These symptoms are usually caused by infection, injury, surgery, catheter, or other conditions that irritate the lower urinary tract.","Phenazopyridine is used to treat pain, burning, increased urination, and increased urge to urinate. These symptoms are usually caused by infection, injury, surgery, catheter, or other conditions that irritate the lower urinary tract. Phenazopyridine will most likely darken the color of your urine to an orange or red color. This is a normal effect and is not cause for alarm unless you have other symptoms such as pale or yellowed skin, fever, stomach pain, nausea, and vomiting."
why is dystopia important,20363,description,"Because it is truly important, accept humanity’s flaws and inspires us to work towards a better society.","One of the most famous examples of this is, of course, Nineteen Eighty-Four by George Orwell and it is only apt that as we near the anniversary of his death, we re-evaluate what makes dystopian literature so important and why we still read it. 1. Dystopia isn’t science-fiction. Dystopian literature can show us our worst selves; the worst possible societies and the some of the worst facets of humanity. But it also forces us to value what is truly important, accept humanity’s flaws and inspires us to work towards a better society."
what type of bank is barclays,20364,description,"It is a universal bank with operations in retail, wholesale and investment banking, as well as wealth management, mortgage lending and credit cards.","Barclays /ˈbɑːkliz/ is a British multinational banking and financial services company headquartered in London. It is a universal bank with operations in retail, wholesale and investment banking, as well as wealth management, mortgage lending and credit cards. In the UK Barclays also offers some personal banking services through branches of the Post Office. Most Barclays branches have 24/7 ATMs. Barclays customers and the customers of many other banks can use Barclays ATMs for free in the UK, although in some other countries fees are charged."
what is dmadv methodology,20365,description,"DMADV is a Six Sigma framework that focuses primarily on the development of a new service, product or process as opposed to improving a previously existing one.","DMADV is a Six Sigma framework that focuses primarily on the development of a new service, product or process as opposed to improving a previously existing one. The DMADV methodology should be applied: 1  when a non-existent product or process needs to be developed at a company and…. 2  when an existing process or product already exists but still needs to meet a Six Sigma level or customer specification."
what does mammal mean,20366,description,"Mammals are a particular class of animal ,they must have glands that give milk, feed their babies, warm-blooded, have fur or hair.","Mammals are a particular class of animal. What makes an animal a mammal are several things. First, they must have glands that give milk. This is to feed their babies. Second, they are warm-blooded. Third, all mammals have fur or hair. Humans are mammals and so are dogs, whales, elephants, and horses. "
average linebacker size,20367,numeric,"Ideal size: 6-3, 245.","OUTSIDE LINEBACKER. Ideal size: 6-3, 245. There are several types of outside linebackers. I will break them down into the weak outside linebacker, which itself has two categories, and the strong outside linebacker. On the so-called weak side, there are two distinct categories -- the pass rusher and the pursuit-coverage linebacker. "
how much time it takes to visit taj mahal,20368,numeric,There is also a time limit of 30 minutes set for each batch to view the Taj Mahal at night.,• Visitors are divided into eight batches of 50 people each. • There is also a time limit of 30 minutes set for each batch to view the Taj Mahal at night. Where to get tickets for Night Viewing of the Taj Mahal Tickets for night viewing must be purchased one day (24 hours) in advance. Photography is permitted so take along your camera. Night time visiting hours for Taj Mahal Night time viewing of the Taj Mahal is an opportunity that many tourists miss out on because of the limited timings and the number of people allowed per night.
cost to install bathroom exhaust fan,20369,numeric,Between $145.91 - $373.32 per fan.,"Get an INSTANT estimate of the cost to Install a Bathroom Fan! Our free calculator uses recent, trusted data to estimate costs for your Bathroom Fan Installation project. For a basic 1 fan project in zip code 47474, the benchmark cost to Install a Bathroom Fan ranges between $145.91 - $373.32 per fan. To estimate costs for your project: 1."
average salary of podiatrist,20370,numeric,"$129,700","Average salary. The average salary for podiatrists working in the United States is $129,700 a year according to Payscale, $121,672 according to Jobstat, $177,089 according to Salary.com, and $132,470 a year according to the Bureau of Labor Statistics (BLS). The starting salaries for podiatrists in their first year on the job are generally in the range from $68,163 to $117,916 a year according to Payscale’s salary figures. These professionals are paid $2,550 a year on average in bonuses"
where does the narwhal live,20371,location,"They lives year-round in the Arctic waters around Greenland, Canada, and Russia.","The narwhal, or narwhale (Monodon monoceros), is a medium-sized toothed whale that possesses a large tusk from a protruding canine tooth. It lives year-round in the Arctic waters around Greenland, Canada, and Russia. It is one of two living species of whale in the Monodontidae family, along with the beluga whale. In the winter, the male narwhals occasionally dive up to 1,500 metres (4,900 feet) in depth, with dives lasting up to 25 minutes. Narwhals, like most toothed whales, communicate with clicks, whistles, and knocks. Narwhals can live up to 50 years."
do i need an subfloor with sheet vinyl on second floor,20372,description,Yes,"Top Layer-Finish Floor: The finish floor, such as hardwood, laminate, or tile. Second Layer Down-Underlayment: Plywood, fiberboard, or cementboard, and is usually either 1/4 or 1/2. Third Layer Down-Subfloor: Subfloor will already be in place (unless this home is under construction). Often, the existing finish floor or subfloor are in such bad condition that installing underlayment is necessary. If you are building a new house, the subfloor itself may be adequate for installation of the finish floor--eliminating the need for underlayment."
how much does it cost to go to harvard university,20373,numeric,"$36,000 per year. Room and Board are roughly $11,000. (Which comes out to $47,000 per year).","Typically Harvard University Undergrad tuition is approximately $36,000 per year. Room and Board are roughly $11,000. (Which comes out to $47,000 per year). Harvard does not t … raditionally give out Merit Based Scholarships, but if you qualify for Financial Aid, some or all of those costs may be covered. Many qualify for financial aid, so they won't pay as much (i.e., those who make under $60,000 don't … have to pay for anything to the school itself [tuition, room, board, books], and those who make under $100,000 don't have to pay tuition [which is about $37,000 per year]). 68 people found this useful."
average temp san juan december,20374,numeric,55.7 degrees,The highest average temperature in San Juan Capistrano is August at 71.7 degrees. The coldest average temperature in San Juan Capistrano is December at 55.7 degrees. The most monthly precipitation in San Juan Capistrano occurs in February with 2.6 inches. The San Juan Capistrano weather information is based on the average of the previous 3-7 years of data. Loading...
which types of freely movable joints are often found in areas of the body,20375,description,"Immovable, slightly movable and freely movable.","Joints permit varying degrees of movements. Joints are classified into three groups: immovable, slightly movable and freely movable. Arthroscopy is the science concerned with the study of joints or articulations. The articulations of the body are classified into three areas: Bone forming slightly movable joints. The bones forming slightly movable joints are separated by a layer of cartilage or fibrous connective tissues. Eg. The joints formed by adjacent vertebrae contain intervertebral disc formed of cartilage."
who and when was the lightbulb invented,20376,person,Thomas Edison in 1879.,"Incandescent Bulbs Light the Way. Long before Thomas Edison patented -- first in 1879 and then a year later in 1880 -- and began commercializing his incandescent light bulb, British inventors were demonstrating that electric light was possible with the arc lamp. The next big change in the incandescent bulb came with the invention of the tungsten filament by European inventors in 1904. These new tungsten filament bulbs lasted longer and had a brighter light compared to the carbon filament bulbs."
can i put xbox saves on my pc,20377,description,Yes,"Yup, you can actually use up to a 16GB USB Storage Device for use with your XBox 360, assuming it has the software update that went out in Spring of 2010: 1  Connect the USB device to a USB port on your console. 2  Go to My Xbox, and then select System Settings. 3  Select Memory. 4  On the Storage Devices screen, select USB Storage Device. 5  Configure the 6  ... Er"
what bible does the catholic church use today,20378,entity,New Vulgate Bible,The Catholic Church uses the Lectionary which is based on the New Vulgate Bible for use in Mass and other services. Catholics are free to use any translation they want as long as it has an Imprimatur and Nilhi Obstat.
